mol solvent,mol solute,target Gsolv kcal
CCI,CC2Cc1ccccc1CC2,-7.95540296
Cc1nc(C)ccc1,FC(F)(F)CC(F)C(F)(F)F,-2.67388766
CCOP(OCC)(OCC)=O,CC(=O)NC(=O)NC(C)=O,-13.01591568
OCCCO,O=C(C2(C3)CC(CC1C2)CC3C1)N,-12.02992895
CN1CCCC1,FCCOC(F)(F)C,-4.21492119
Cc1ccccc1N(=O)=O,Cc3c1CCc(c1c5cc3)c4ccc2ccccc2c4c5,-15.45012319
Brc2c1ccccc1ccc2,OCC1CCCC1,-5.66297246
CCC(C)Cl,NCC(F)CC,-4.84084102
CCCCOC(C)=O,COCC(OC)=O,-5.47500981
N#CCCCCC#N,Cc(cc1C)nn1C,-6.65485545
CCC(O)(C)C,Cc1c(c(C)c(cc1N(=O)=O)N(=O)=O)N(=O)=O,-11.44207475
ClC(=C)C=C,CCOC(=O)c(ccc1)cc1N,-10.38244009
NCCN,CCc(cnc1C)nc1CC,-5.87935816
NCCCN,Fc1cc(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2F)c1F,-11.59747336
ClCBr,ClCCN(C)C,-6.11700801
N1CCCCC1,FCCC(F)(F)CCC,-4.81085868
Oc1cc(C)ccc1,C(Nc1cc2)Cc1cc2,-8.54463618
Brc1ccccc1,OC(C)(C)CCCC(C)C=C,-7.80790396
CC(C)N(=O)=O,FC(F)C(F)C(F)C(F)(C(F)(F)F)C(F)(F)F,-4.08334811
ClC(Cl)(Cl)Cl,CCOC(CO)OCC,-6.1523152
NCC,FC(F)(F)C(C(F)(F)F)OC(C(F)(F)F)=O,-4.87384236
CI,O(C2)CC1CCC2CC1,-6.51165697
CCCCCCC=C,FCOC(C)=O,-3.22197317
OCCCCCC,CC2(CCC=C(C)C)C1(C)C(CC32)C1C3,-8.28042593
CCCCCCCCCCCC,N#CC(c1ccccc1)=O,-6.20983966
N1CCCCC1,OCCCN(C)C,-8.45959407
CCCCCCCC=C,Fc2c(F)c(F)c(c(F)c2F)c(c(F)c1F)c(F)c(F)c1O,-8.95382982
CN1CCCC1=O,c(ccc2c1ccccc1o3)cc32,-9.528032000000001
CCCCCCCl,CC1(C)CC(CC(C)(C1)CN=C=O)N=C=O,-10.97237493
FC(F)C,Fc(ccc1N(=O)=O)cc1O,-7.92711022
CCOC(OCC)=O,CCCCOC(C)C,-4.63236071
CCCCCCCl,CCC(Cl)(Cl)N(=O)=O,-5.73558125
CCCCCCCCBr,CC(C)C(F)(F)Cl,-3.37703147
C(CC2)CCC2c1ccccc1,CC=Cc2cc1OCOc1cc2,-8.35186327
Cc1ccccc1,CSCl,-3.83320804
CCCCCCC,ClCCOc1ccccc1,-7.26920979
CCCCl,FC(F)(F)C(O)(C(F)(F)F)C(F)(F)F,-3.20172303
CCCCCCCCBr,FCC(OC)C(F)(F)F,-3.31048414
CN1CCN(C)C1=O,CCS(O)(=O)=O,-13.67453056
N1CCCCC1,Cc(ccc1C)cc1C,-6.424615
C(CC1)CCC1C2CCCCC2,OCCOCCO,-5.30732477
CC(C)(C)CC(C)=C,O=C1N=C(N)C=CN1,-9.72879174
N#CCCCC#N,Brc1ccncc1,-6.23512399
COc1ccccc1,COC(C(C)C)C(F)(F)F,-4.42817807
CCCCC,O=C(OCc2ccccc2)C=Cc1ccccc1,-12.47569632
CCCCCCCCCCCCCC,OC1CCCCCC1,-5.68399622
C1CCCC1,CCCC(F)(F)C(F)(F)O,-4.50101858
OCCc1ccccc1,Cc1cc(C)ncn1,-8.14182628
CCC(C)C,CCCC(C)CO,-5.01497016
N#CCc1ccccc1,CCCCCCCCCCON=C1CC=CCC1,-11.7433132
OCCCCC,FC(=C)C=O,-3.69053671
OCC(O)CC,FC(F)(F)CC(F)(F)C,-2.85173933
OCCOCCO,Cc1ccc(S)cc1,-6.58638873
CN1CCN(C)C1=O,FC(F)C(F)C(F)(F)C(F)(F)C,-5.09121093
N#CCCCCC#N,CC(C1CCOC1=O)=O,-8.92929839
CCCCCC(C)=O,CCC(C(C)=O)C(C)=O,-6.48506067
CCOCC,CN(C)P(=N)(N(C)C)N(C)C,-8.04973688
CCOC(C)(C)C,O=C3OC(C2C3C1C=CC2C1)=O,-9.60945673
CN1CCCC1=O,CC(C)(C)c1sc(nn1)N(C)C(=O)NC,-15.4100425
CN1CCCCC1=O,CC1(C)COC1,-3.9945242999999997
ClC(Cl)C(O)=O,CC(C)Cc1nccnc1C,-14.05963411
CCCCNCCCC,CC1(CCC2)CCC2(C)C1=NO,-10.39263877
ClC(Cl)C(Cl)Cl,ClCCC(C)=O,-6.83010018
CCC(C)CC,Nc1ccccc1C(=O)N,-7.82513386
CCCCCCOC(C)=O,CC1CCC(CC1)C(C)(C)OC(C)=O,-8.74857673
COc1ccccc1,CC1=CC(CCC1)=O,-7.88758197
CNC=O,OCCOCC(CC)CCCC,-7.28574586
CCOCCOCCOCC,O=C2C3CC(C1)CC2CC1C3,-7.78884533
CC(C)C(C)C(C)C,ClC(Cl)CC(F)(Cl)Cl,-5.68804345
C1OC1,CC(=O)c1ccccc1C,-8.20242084
CN(C)P(=O)(N(C)C)N(C)C,CCNc1nc(NC(C)C)nc(Cl)n1,-16.07762496
Clc2c1ccccc1ccc2,CCCCCCCCC(=O)N,-9.81870518
CC(Cl)Cl,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,-2.0156365000000003
Ic1ccccc1,O=C1NC2=C(NC=N2)C(=O)N1,-12.73859137
CN1CCCC1,O=COCCc1ccccc1,-8.3651144
O(c2ccccc2)c1ccccc1,OP(O)C,-5.80114272
CN1CCN(C)C1=O,CC(C)SSSC(C)C,-7.84051795
ClC(Cl)C(Cl)Cl,Clc1cc(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)N,-19.44431546
CCOc1ccccc1,COC(C)(C)C,-3.65970419
COC(C)(C)C,OCc2cc1OCOc1cc2,-9.77597425
OC(C)=O,CCS(CC)(=O)=O,-10.41415174
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,CC(C)C1CC1,-3.11336737
COc1ccccc1,C(CCC3)CCCC3(C4(CCCCCCC4)c2ccccc2)c1ccccc1,-18.32186188
CCCCCCCl,CCC1(C)CC1,-3.39483053
S=C=S,CCCCC(CC)CC,-6.17310486
CC(C)(C)Cl,FC(F)C(F)C(F)(F)C(F)(F)C(F)(F)F,-3.28063137
CCCCCCCCCCCC,NCC(C)(C)C,-3.6021832000000003
CC#N,CC(C)CCCC=C,-3.66005207
ICI,CCNCCNCC,-6.54146082
BrC(Br)C(Br)Br,CCCCCOC(CCC)=O,-7.88641591
CCCCN(CCCC)CCCC,COC(F)(F)C(F)(F)F,-1.8139073000000001
OC(C)(C)C,Cc(ccc1N=CN(C)C=Nc2ccc(C)cc2C)cc1C,-15.28783608
CC(Cl)(Cl)Cl,O=C1NCCC1,-7.72625884
CCOC(C)=O,C=CN(=O)=O,-5.34497956
N#CCCCC#N,COC1CCCCCCCCCCC1,-7.48872083
CC#N,C(CC1)CCC21CCCCC2,-5.34833081
OC(C)=O,O=CCCCC=O,-8.1521756
CCC#N,OC(C)(C)Cc1ccccc1,-8.87333153
CCCC(C)C,CCCCn1cnnc1,-8.04774328
OCCOCCO,OC(=O)c(cc1C)cc(C)c1C,-11.41056749
S=C=S,NNC(=O)C(=O)N,-6.12065358
CCCC(C)=O,COC(F)(C(F)(F)F)C(F)(F)C,-4.11387271
